policy,allocated,running,used_gpus,mem_range,core_range,slice_range,intra_gap,balance_score,gpu_usage
spread,8,3,4,8000.0,90.0,2,0.26858003582478424,1.4942598925256474,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 10.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 95.0, ""mem"": 16000.0, ""slices"": 3}}"
dqn-job,8,1,4,8000.0,90.0,2,0.26858003582478424,1.4942598925256474,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 10.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 95.0, ""mem"": 16000.0, ""slices"": 3}}"
