case,policy,pod,role,phase,annotation
case-a,random,normal-preload-target-pair-0-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-a,dqn-job,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
case-a,dqn-job,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,10:"
case-a,dqn-job,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,50:"
case-a,dqn-job,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
case-a,dqn-job,normal-preload-target-core-2-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-a,dqn-job,normal-preload-target-mem-1-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
case-a,dqn-job,normal-preload-target-pair-0-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-a,dqn-job,normal-preload-target-pair-0-1,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
case-b,spread,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
case-b,spread,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,10:"
case-b,spread,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,50:"
case-b,spread,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,20:"
case-b,spread,normal-preload-target-corehi-1-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-b,spread,normal-preload-target-corehi-1-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
case-b,spread,normal-preload-target-corehi-1-2,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-b,spread,normal-preload-target-memhi-0-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
case-b,spread,normal-preload-target-memhi-0-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
case-b,spread,normal-preload-target-memhi-0-2,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
case-b,binpack,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
case-b,binpack,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,10:"
case-b,binpack,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
case-b,binpack,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,20:"
case-b,binpack,normal-preload-target-corehi-1-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-b,binpack,normal-preload-target-corehi-1-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-b,binpack,normal-preload-target-corehi-1-2,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-b,binpack,normal-preload-target-memhi-0-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
case-b,binpack,normal-preload-target-memhi-0-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
case-b,binpack,normal-preload-target-memhi-0-2,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
case-b,original,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,65:"
case-b,original,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,10:"
case-b,original,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,50:"
case-b,original,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,20:"
case-b,original,normal-preload-target-corehi-1-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-b,original,normal-preload-target-corehi-1-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-b,original,normal-preload-target-corehi-1-2,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-b,original,normal-preload-target-memhi-0-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
case-b,original,normal-preload-target-memhi-0-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
case-b,original,normal-preload-target-memhi-0-2,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
case-b,random,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,65:"
case-b,random,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,10:"
case-b,random,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,50:"
case-b,random,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
case-b,random,normal-preload-target-corehi-1-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-b,random,normal-preload-target-corehi-1-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-b,random,normal-preload-target-corehi-1-2,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-b,random,normal-preload-target-memhi-0-0,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
case-b,random,normal-preload-target-memhi-0-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
case-b,random,normal-preload-target-memhi-0-2,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
case-b,dqn-job,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,65:"
case-b,dqn-job,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,10:"
case-b,dqn-job,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
case-b,dqn-job,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,20:"
case-b,dqn-job,normal-preload-target-corehi-1-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-b,dqn-job,normal-preload-target-corehi-1-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-b,dqn-job,normal-preload-target-corehi-1-2,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-b,dqn-job,normal-preload-target-memhi-0-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
case-b,dqn-job,normal-preload-target-memhi-0-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
case-b,dqn-job,normal-preload-target-memhi-0-2,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
case-c,spread,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,65:"
case-c,spread,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,10:"
case-c,spread,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
case-c,spread,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,20:"
case-c,spread,normal-preload-target-corehi-1-0,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-c,spread,normal-preload-target-corehi-1-1,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-c,spread,normal-preload-target-corehi-1-2,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
case-c,spread,normal-preload-target-normal-2-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-c,spread,normal-preload-target-normal-2-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
case-c,spread,normal-preload-target-pair-0-0,target,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-c,spread,normal-preload-target-pair-0-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-c,binpack,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
case-c,binpack,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,10:"
case-c,binpack,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,50:"
case-c,binpack,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,20:"
case-c,binpack,normal-preload-target-corehi-1-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-c,binpack,normal-preload-target-corehi-1-1,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-c,binpack,normal-preload-target-corehi-1-2,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
case-c,binpack,normal-preload-target-normal-2-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-c,binpack,normal-preload-target-normal-2-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-c,binpack,normal-preload-target-pair-0-0,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-c,binpack,normal-preload-target-pair-0-1,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
case-c,original,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,65:"
case-c,original,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
case-c,original,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
case-c,original,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,20:"
case-c,original,normal-preload-target-corehi-1-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-c,original,normal-preload-target-corehi-1-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-c,original,normal-preload-target-corehi-1-2,target,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
case-c,original,normal-preload-target-normal-2-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-c,original,normal-preload-target-normal-2-1,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-c,original,normal-preload-target-pair-0-0,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-c,original,normal-preload-target-pair-0-1,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-c,random,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,65:"
case-c,random,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
case-c,random,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,50:"
case-c,random,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,20:"
case-c,random,normal-preload-target-corehi-1-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-c,random,normal-preload-target-corehi-1-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
case-c,random,normal-preload-target-corehi-1-2,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
case-c,random,normal-preload-target-normal-2-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-c,random,normal-preload-target-normal-2-1,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-c,random,normal-preload-target-pair-0-0,target,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-c,random,normal-preload-target-pair-0-1,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
case-c,dqn-job,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
case-c,dqn-job,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
case-c,dqn-job,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,50:"
case-c,dqn-job,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,20:"
case-c,dqn-job,normal-preload-target-corehi-1-0,target,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
case-c,dqn-job,normal-preload-target-corehi-1-1,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-c,dqn-job,normal-preload-target-corehi-1-2,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-c,dqn-job,normal-preload-target-normal-2-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-c,dqn-job,normal-preload-target-normal-2-1,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-c,dqn-job,normal-preload-target-pair-0-0,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
case-c,dqn-job,normal-preload-target-pair-0-1,target,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
