case_id,policy,pod,phase,annotation
1,spread,dqn-better-1-spread-memhi-1-1,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
1,spread,dqn-better-1-spread-pair-0-0,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
1,spread,dqn-better-1-spread-pair-0-1,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
1,binpack,dqn-better-1-binpack-corehi-2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
1,binpack,dqn-better-1-binpack-corehi-2-1,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
1,binpack,dqn-better-1-binpack-memhi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
1,binpack,dqn-better-1-binpack-memhi-1-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
1,binpack,dqn-better-1-binpack-pair-0-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
1,binpack,dqn-better-1-binpack-pair-0-1,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
1,original,dqn-better-1-original-corehi-2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
1,original,dqn-better-1-original-corehi-2-1,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
1,original,dqn-better-1-original-memhi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
1,original,dqn-better-1-original-memhi-1-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
1,original,dqn-better-1-original-pair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
1,original,dqn-better-1-original-pair-0-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
1,random,dqn-better-1-random-corehi-2-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
1,random,dqn-better-1-random-corehi-2-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
1,random,dqn-better-1-random-memhi-1-0,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
1,random,dqn-better-1-random-memhi-1-1,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
1,random,dqn-better-1-random-pair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
1,random,dqn-better-1-random-pair-0-1,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
1,dqn-job,dqn-better-1-dqn-job-corehi-2-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
1,dqn-job,dqn-better-1-dqn-job-corehi-2-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
1,dqn-job,dqn-better-1-dqn-job-memhi-1-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
1,dqn-job,dqn-better-1-dqn-job-memhi-1-1,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
1,dqn-job,dqn-better-1-dqn-job-pair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
1,dqn-job,dqn-better-1-dqn-job-pair-0-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
2,spread,dqn-better-2-spread-corehi-2-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
2,spread,dqn-better-2-spread-corehi-2-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
2,spread,dqn-better-2-spread-corehi-2-2,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
2,spread,dqn-better-2-spread-memhi-1-0,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
2,spread,dqn-better-2-spread-pair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
2,spread,dqn-better-2-spread-pair-0-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
2,binpack,dqn-better-2-binpack-corehi-2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
2,binpack,dqn-better-2-binpack-corehi-2-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
2,binpack,dqn-better-2-binpack-corehi-2-2,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
2,binpack,dqn-better-2-binpack-memhi-1-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
2,binpack,dqn-better-2-binpack-pair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
2,binpack,dqn-better-2-binpack-pair-0-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
2,original,dqn-better-2-original-corehi-2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
2,original,dqn-better-2-original-corehi-2-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
2,original,dqn-better-2-original-corehi-2-2,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
2,original,dqn-better-2-original-memhi-1-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
2,original,dqn-better-2-original-pair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
2,original,dqn-better-2-original-pair-0-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
2,random,dqn-better-2-random-corehi-2-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
2,random,dqn-better-2-random-corehi-2-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
2,random,dqn-better-2-random-corehi-2-2,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
2,random,dqn-better-2-random-memhi-1-0,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
2,random,dqn-better-2-random-pair-0-0,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
2,random,dqn-better-2-random-pair-0-1,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
2,dqn-job,dqn-better-2-dqn-job-corehi-2-0,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
2,dqn-job,dqn-better-2-dqn-job-corehi-2-1,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
2,dqn-job,dqn-better-2-dqn-job-corehi-2-2,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
2,dqn-job,dqn-better-2-dqn-job-memhi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
2,dqn-job,dqn-better-2-dqn-job-pair-0-0,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
2,dqn-job,dqn-better-2-dqn-job-pair-0-1,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
