policy,n,balance_score_mean,balance_score_std,intra_gap_mean,intra_gap_std,mem_range_mean,mem_range_std,core_range_mean,core_range_std,slice_range_mean,slice_range_std,running_mean,running_std,allocated_mean,allocated_std
dqn-job,5,0.877039570102589,0.0,0.03851978505129455,0.0,12000.0,0.0,35.0,0.0,2.0,0.0,10.0,0.0,10.0,0.0
spread,5,1.034063670411985,0.4943323384478302,0.22581582804103564,0.12282016362261843,8800.0,3919.183588453085,45.0,23.2379000772445,1.0,0.0,10.0,0.0,10.0,0.0
binpack,5,1.3381875915974597,0.11337216570448828,0.2319638495359062,0.046177727979483545,14400.0,1959.5917942265426,52.0,14.696938456699069,1.0,0.0,10.0,0.0,10.0,0.0
original,5,1.3729156489171144,0.14216049282697082,0.21669190685556097,0.03839247315846172,14400.0,1959.5917942265426,57.0,16.61324772583615,3.0,0.0,10.0,0.0,10.0,0.0
random,5,1.3850757205666828,0.26664643554149026,0.3042598925256473,0.07764395768865597,9600.0,3200.0,69.0,10.198039027185569,1.6,0.4898979485566356,10.0,0.0,10.0,0.0
